,%time,field.header.seq,field.header.stamp,field.header.frame_id,field.timestamp_,field.frame_number_,field.left_host_lane_.header.seq,field.left_host_lane_.header.stamp,field.left_host_lane_.header.frame_id,field.left_host_lane_.lane_id_,field.left_host_lane_.lane_track_status_,field.left_host_lane_.lane_exsit_conf_,field.left_host_lane_.lane_type_,field.left_host_lane_.lane_type_conf_,field.left_host_lane_.lane_color_,field.left_host_lane_.line_width_,field.left_host_lane_.coeffA_,field.left_host_lane_.coeffA_std_,field.left_host_lane_.coeffB_,field.left_host_lane_.coeffB_std_,field.left_host_lane_.coeffC_,field.left_host_lane_.coeffC_std_,field.left_host_lane_.coeffD_,field.left_host_lane_.coeffD_std_,field.left_host_lane_.lane_startX_,field.left_host_lane_.lane_startY_,field.left_host_lane_.lane_end_,field.left_host_lane_.lane_total_age_,field.left_host_lane_.lane_init_age_,field.left_host_lane_.lane_measure_age_,field.left_host_lane_.lane_predict_age_,field.left_host_lane_.lane_change_,field.right_host_lane_.header.seq,field.right_host_lane_.header.stamp,field.right_host_lane_.header.frame_id,field.right_host_lane_.lane_id_,field.right_host_lane_.lane_track_status_,field.right_host_lane_.lane_exsit_conf_,field.right_host_lane_.lane_type_,field.right_host_lane_.lane_type_conf_,field.right_host_lane_.lane_color_,field.right_host_lane_.line_width_,field.right_host_lane_.coeffA_,field.right_host_lane_.coeffA_std_,field.right_host_lane_.coeffB_,field.right_host_lane_.coeffB_std_,field.right_host_lane_.coeffC_,field.right_host_lane_.coeffC_std_,field.right_host_lane_.coeffD_,field.right_host_lane_.coeffD_std_,field.right_host_lane_.lane_startX_,field.right_host_lane_.lane_startY_,field.right_host_lane_.lane_end_,field.right_host_lane_.lane_total_age_,field.right_host_lane_.lane_init_age_,field.right_host_lane_.lane_measure_age_,field.right_host_lane_.lane_predict_age_,field.right_host_lane_.lane_change_,field.left_neigbour_lane_.header.seq,field.left_neigbour_lane_.header.stamp,field.left_neigbour_lane_.header.frame_id,field.left_neigbour_lane_.lane_id_,field.left_neigbour_lane_.lane_track_status_,field.left_neigbour_lane_.lane_exsit_conf_,field.left_neigbour_lane_.lane_type_,field.left_neigbour_lane_.lane_type_conf_,field.left_neigbour_lane_.lane_color_,field.left_neigbour_lane_.line_width_,field.left_neigbour_lane_.coeffA_,field.left_neigbour_lane_.coeffA_std_,field.left_neigbour_lane_.coeffB_,field.left_neigbour_lane_.coeffB_std_,field.left_neigbour_lane_.coeffC_,field.left_neigbour_lane_.coeffC_std_,field.left_neigbour_lane_.coeffD_,field.left_neigbour_lane_.coeffD_std_,field.left_neigbour_lane_.lane_startX_,field.left_neigbour_lane_.lane_startY_,field.left_neigbour_lane_.lane_end_,field.left_neigbour_lane_.lane_total_age_,field.left_neigbour_lane_.lane_init_age_,field.left_neigbour_lane_.lane_measure_age_,field.left_neigbour_lane_.lane_predict_age_,field.left_neigbour_lane_.lane_change_,field.right_neigbour_lane_.header.seq,field.right_neigbour_lane_.header.stamp,field.right_neigbour_lane_.header.frame_id,field.right_neigbour_lane_.lane_id_,field.right_neigbour_lane_.lane_track_status_,field.right_neigbour_lane_.lane_exsit_conf_,field.right_neigbour_lane_.lane_type_,field.right_neigbour_lane_.lane_type_conf_,field.right_neigbour_lane_.lane_color_,field.right_neigbour_lane_.line_width_,field.right_neigbour_lane_.coeffA_,field.right_neigbour_lane_.coeffA_std_,field.right_neigbour_lane_.coeffB_,field.right_neigbour_lane_.coeffB_std_,field.right_neigbour_lane_.coeffC_,field.right_neigbour_lane_.coeffC_std_,field.right_neigbour_lane_.coeffD_,field.right_neigbour_lane_.coeffD_std_,field.right_neigbour_lane_.lane_startX_,field.right_neigbour_lane_.lane_startY_,field.right_neigbour_lane_.lane_end_,field.right_neigbour_lane_.lane_total_age_,field.right_neigbour_lane_.lane_init_age_,field.right_neigbour_lane_.lane_measure_age_,field.right_neigbour_lane_.lane_predict_age_,field.right_neigbour_lane_.lane_change_
42,1634697444429857759,20581,1634697367137059810,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.76800000668,0.0,0.0366000011563,0.0,0.00138999999035,0.0,-1.22999999803e-05,0.0,0.0,0.0,47.4300003052,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.68499994278,0.0,-0.0209999997169,0.0,0.00251000002027,0.0,-6.20999981038e-06,0.0,0.0,0.0,47.2900009155,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
43,1634697444477296887,20582,1634697367186365560,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.77199995518,0.0,0.0362999998033,0.0,0.00141000002623,0.0,-4.4399998842e-06,0.0,0.0,0.0,39.1399993896,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.7159999609,0.0,-0.0296999998391,0.0,0.00255999993533,0.0,-4.49999987495e-07,0.0,0.0,0.0,46.3499984741,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
44,1634697444529103809,20583,1634697367238404590,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.73800003529,0.0,0.0372000001371,0.0,0.00139999995008,0.0,-4.4399998842e-06,0.0,0.0,0.0,39.1399993896,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.69099998474,0.0,-0.0265999995172,0.0,0.00255999993533,0.0,-4.49999987495e-07,0.0,0.0,0.0,46.3499984741,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
46,1634697444628344233,20585,1634697367336187680,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.77600002289,0.0,0.00769999995828,0.0,0.00107999995816,0.0,1.48000003719e-06,0.0,0.0,0.0,51.1399993896,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.64100003242,0.0,0.00310000008903,0.0,0.00107999995816,0.0,1.64999994468e-06,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
47,1634697444677170484,20586,1634697367386363420,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.79499995708,0.0,0.00529999984428,0.0,0.00107999995816,0.0,9.7999998161e-07,0.0,0.0,0.0,59.2200012207,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.66400003433,0.0,0.00370000000112,0.0,0.00107999995816,0.0,1.01000000541e-06,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
48,1634697444726953752,20587,1634697367436302800,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.79299998283,0.0,0.00650000013411,0.0,0.00109000003431,0.0,9.40000006722e-07,0.0,0.0,0.0,59.2200012207,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.64699995518,0.0,0.00310000008903,0.0,0.00109000003431,0.0,1.06000004507e-06,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
50,1634697444828931712,20589,1634697367537023140,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.8259999752,0.0,0.00719999987632,0.0,0.00110999995377,0.0,2.75999991572e-06,0.0,0.0,0.0,56.6199989319,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.66199994087,0.0,0.00329999998212,0.0,0.00110999995377,0.0,2.94000005852e-06,0.0,0.0,0.0,63.9900016785,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
51,1634697444877838859,20590,1634697367587016860,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.8259999752,0.0,0.00749999983236,0.0,0.00110999995377,0.0,2.75000002148e-06,0.0,0.0,0.0,56.6199989319,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.6629999876,0.0,0.00319999991916,0.0,0.00110999995377,0.0,2.96000007438e-06,0.0,0.0,0.0,63.9900016785,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
52,1634697444927451684,20591,1634697367636792560,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.86500000954,0.0,0.00620000017807,0.0,0.00110999995377,0.0,2.2799999897e-06,0.0,0.0,0.0,58.5499992371,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.7009999752,0.0,0.00579999992624,0.0,0.00110999995377,0.0,2.30000000556e-06,0.0,0.0,0.0,64.7900009155,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
54,1634697445029204593,20593,1634697367736900500,,0,0,0,0,,120,0,0,1,0,0,0.0,-1.7879999876,0.0,0.0318999998271,0.0,0.00187000003643,0.0,6.40000007479e-06,0.0,0.0,0.0,36.4599990845,0,0,0,0,0,0,0,,98,0,0,1,0,0,0.0,1.78699994087,0.0,-0.0300999991596,0.0,0.00288000004366,0.0,7.5600000855e-06,0.0,0.0,0.0,42.3600006104,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
